obs  precinct  busha bushm gorea gorem brownea brownem nadera naderm harrisa harrism hagelina hagelinm buchanana buchananm mcreynoldsa mcreynoldsm phillipsa phillipsm mooreheada mooreheadm undera underm overa overm
113 44   78  78  167  167 0 0  1  1 0 0 1 1  1  1 0 0 0 0 0 0  2  2  23  23
114 44A  27  27  180  180 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  6  6  32  32
115 44B  42  42  182  182 0 0  3  3 0 0 0 0  1  1 2 2 0 0 1 1  2  2  41  41
116 44C  32  32   33   33 0 0  0  0 0 0 0 0  2  2 0 0 0 0 0 0  1  1  14  14
117 44D   0   0    0    0 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0   0   0
118 44E   0   0    0    0 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0   0   0
119 45  520 520  674  675 0 0 19 19 0 0 0 0  7  7 0 0 0 0 0 0 10  9  35  35
120 45A 386 388  518  519 1 1 13 13 0 0 1 1  4  4 0 1 0 0 0 0 19 15  28  28
121 46  110 110  156  156 0 0  5  5 0 0 1 1  2  2 0 0 0 0 0 0  0  0  12  12
122 46A 124 124  176  176 0 0  9  9 0 0 0 0  2  2 1 1 0 0 0 0  9  9  10  10
123 46B  10  10   29   29 0 0  0  0 0 0 0 0  1  1 0 0 0 0 0 0  0  0   5   5
124 47  445 446  588  588 1 1 12 12 1 1 0 0 12 12 1 1 2 2 0 0 11 10  33  33
125 47A 706 708  695  695 2 2 19 19 1 1 0 0  4  4 0 0 0 0 0 0  5  3  16  16
126 47B 445 445  458  458 1 1 13 13 0 0 0 0  9  9 0 0 0 0 0 0 10 10  19  19
127 47C 684 684  660  660 3 3 13 13 0 0 1 1  6  6 0 0 0 0 1 1 34 34  42  42
128 47D 414 414  675  675 2 2  6  6 0 0 0 0  5  5 0 0 0 0 0 0 10 10  11  11
129 48  639 639  492  492 2 2 19 19 0 0 0 0  6  6 2 2 0 0 0 0  6  6  24  24
130 49  582 582  633  633 1 1 38 38 0 0 2 2  5  5 1 1 2 2 0 0  8  8  28  28
131 50  391 394  305  305 0 0  7  8 0 0 0 0  5  5 1 1 0 0 0 0  9  4  23  24
132 51  316 318  397  400 1 1  6  6 0 0 0 0  4  4 0 0 1 1 1 1 42 36  86  87
133 52  629 631  609  611 5 5 22 22 0 0 0 0  7  7 0 0 0 1 0 0 36 32  52  51
134 52A  56  56   44   44 0 0  2  2 0 0 0 0  1  1 0 0 0 0 0 0  1  1   1   1
135 53  283 283  358  359 1 1 13 13 0 0 0 0  0  0 0 0 1 0 0 0  5  4  18  19
136 54   11  11  271  271 0 0  0  0 0 0 0 0  2  2 1 1 1 1 0 0  8  8  47  47
137 55   27  27  247  248 0 0  1  1 0 0 0 0  2  2 3 3 0 0 0 0 12 11  32  32
138 56  121 121  228  228 1 1  8  8 0 0 0 0  7  7 0 0 0 0 0 0  3  3  31  31
139 56A  10  10   80   80 0 0  0  0 0 0 0 0  1  1 0 0 0 0 0 1  2  1  14  14
140 56B  81  81  166  166 1 1  4  4 0 0 0 0  0  0 0 0 0 0 0 0  2  2  16  16
141 56C  41  41  199  199 0 0  1  1 1 1 0 0  2  2 0 0 0 0 0 0  2  2  23  23
142 57  330 330  614  614 1 1 15 15 1 1 1 1  1  1 1 1 0 0 1 1 19 19  61  61
143 58  427 428  338  340 0 0 16 16 0 0 0 0  2  2 1 1 0 0 1 1  8  5  26  26
144 58A 494 496  399  399 1 1 13 13 0 0 0 0  4  4 0 0 0 0 0 0  6  4  35  35
145 59   21  21 1208 1209 0 0  1  1 2 2 0 0  7  7 2 2 0 0 1 1 12 11 237 237
146 59A   0   0    0    0 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0   0   0
147 60   66  66  529  529 1 1  6  6 1 1 1 1 13 13 1 1 1 1 0 0 19 19  58  58
148 61  145 145 1060 1059 1 1  7  7 0 0 0 0 34 34 3 3 1 1 0 0 12 13 128 128
149 61A 220 220  194  194 0 0  0  0 0 0 0 0  0  0 0 0 1 1 0 0  2  2  17  17
150 61B 201 201  381  381 0 0  7  7 0 0 0 0  1  1 0 0 0 0 0 0  3  3  31  31
151 61C   7   7    6    6 0 0  3  3 0 0 0 0  0  0 0 0 0 0 0 0  0  0   0   0
152 62   65  65  852  854 1 1  4  5 0 0 0 0  8  8 2 1 0 0 0 0 19 17 123 123
153 63  271 272  259  259 2 2 13 13 0 0 0 0  5  5 0 0 0 0 0 0 11 10  19  19
154 64   37  37  657  658 0 0  3  3 0 0 0 0 13 13 0 0 0 0 0 0  8  6 116 117
155 65   27  27   19   19 0 0  1  1 0 0 0 0  0  0 0 0 0 0 0 0  0  0   1   1
156 65A 268 270  425  426 0 0  9  9 0 0 1 1  3  3 0 0 2 2 0 0  6  4  37  36
157 65B 103 103  281  282 0 0  3  3 0 0 0 0  3  3 0 0 0 0 0 0  5  4  24  24
158 65C   7   7    9    9 0 0  2  2 0 0 0 0  0  0 0 0 0 0 0 0  0  0   1   1
159 66   25  25 1204 1204 2 2  2  2 1 1 3 3 17 17 6 6 1 1 2 2 60 60 240 240
160 67   12  11  888  890 0 1  2  2 1 1 0 0  2  2 1 1 0 1 3 3 16 12 171 172
161 68  133 133  217  217 2 2  8  8 0 0 0 0  1  1 0 0 0 0 0 0  0  0  21  21
162 69   48  48  602  602 0 0  2  2 0 0 0 0  3  3 1 1 0 0 1 1  4  4  63  63
163 69A  27  27  218  220 0 0  4  4 0 0 0 0  1  1 1 1 0 0 0 0  2  0  29  29
164 70   29  29  262  262 0 0  1  1 0 0 0 0  0  0 0 0 0 0 1 1  4  4  34  34
165 71  167 167  784  783 3 3 17 17 0 0 0 0 12 12 6 6 0 0 1 1 19 19 122 123
166 71A 162 162  186  186 1 1  7  7 0 0 0 0  0  0 0 0 0 0 0 0  3  3  11  11
167 73    6   6   15   15 0 0  0  0 0 0 0 0  1  1 0 0 0 0 0 0  0  0   1   1
168 73A 147 146  324  324 1 1  5  7 0 0 0 0  1  0 0 0 0 0 0 0  4  3  15  16
169 73B 315 316  209  209 1 1  1  1 0 0 0 0  1  1 1 1 0 0 0 0 13 12   5   5
170 73C  25  25   68   68 0 0  2  2 0 0 0 0  1  1 0 0 0 0 0 0  1  1   2   2
171 73D  68  68  111  112 0 0  3  3 0 0 0 0  0  0 0 0 0 0 0 0  0  0   7   6
172 73E 142 144  311  312 0 0  7  7 0 0 0 0  0  0 0 0 0 0 0 0 10  8  26  25
173 73F  79  79   50   50 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0   2   2
174 73H 682 682  912  913 1 1 27 27 0 0 0 0  7  7 0 0 0 0 0 0  8  8  55  54
175 73I   3   3   14   14 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  0  0   1   1
176 74  286 286 1010 1010 2 2 14 14 0 0 1 1  9  9 0 0 1 1 0 0 23 23  62  62
177 74A  57  57  460  460 1 1  0  0 0 0 0 0  3  3 0 0 0 0 0 0  4  3  63  64
178 74B 336 337  512  512 1 1 15 15 0 0 0 0  4  4 0 0 0 0 0 0  5  4  18  18
179 74C 130 130  481  481 3 3 11 11 0 0 0 0  7  7 3 3 0 0 2 2 22 22  60  60
180 74D   5   5   88   88 0 0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  2  2  20  20
181 74E 415 415  510  510 1 1 14 14 0 0 0 0  6  6 0 0 0 0 0 0  3  3  28  28
182 74F 234 235  395  395 0 0  8  8 0 0 0 0  4  4 0 0 0 0 0 0  9  8  15  15
183 74G 332 333  641  641 0 0 17 17 1 1 1 1  2  2 0 0 0 0 1 1  6  5  37  37
184 75   51  51  771  772 0 0  8  8 0 0 0 0  6  2 1 5 0 0 0 0 15 15 104 103
185 76   69  69  253  253 1 1 10 10 0 0 0 0  3  3 1 1 0 0 0 0  0  0  17  17
186 76A 126 126  456  456 6 6  7  7 0 0 0 0  1  1 0 0 0 0 0 0  7  7  52  52
187 77  718 729  396  406 6 6 11 12 0 0 0 1  4  4 2 2 0 0 1 1 90 67  24  24
188 77A 363 364  386  386 1 1 12 12 1 1 0 0  6  6 0 0 0 0 0 0  8  7  25  25
189 78  214 214  272  272 1 1 12 12 0 0 0 0 10 10 0 0 1 1 0 0  3  3  20  20
190 79  174 174  482  482 0 0 11 11 0 0 0 0  9  9 0 0 1 1 0 0 12 12  52  52
191 81    6   6  371  372 0 0  0  0 1 1 0 0  2  2 0 0 0 0 0 0 14 13  52  52
192 81A  50  50   40   40 0 0  2  2 0 0 0 0  0  0 0 0 0 0 0 0  1  1   2   2
193 82    21  21 1156 1157  1  1  5  5 0 0 0 0 18 18 2 2 0 0 0 0 12 11 150 150
194 83    59  59  107  108  0  0  4  4 0 0 0 0  0  0 1 1 0 0 0 0  3  3  11  10
195 83A    7   7   31   31  1  1  1  1 0 0 0 0  1  1 0 0 0 0 0 0  0  0   3   3
196 84     6   6  244  244  0  0  0  0 0 0 0 0  5  5 0 0 1 1 1 1  0  0  13  13
197 85     2   2  133  133  0  0  0  0 0 0 0 0  3  3 0 0 0 0 0 0  1  1  32  32
198 86    88  88   88   88  1  1  1  1 0 0 1 1  0  0 0 0 0 0 0 0  3  3   1   1
199 86A   30  30   80   81  0  0  1  1 0 0 0 0  1  1 0 0 0 0 0 0  1  0  12  12
200 86B   33  33  126  127  0  0  0  0 0 0 0 0  0  0 0 0 0 0 0 0  3  2  11  11
201 87     2   2    5    5  1  1  1  1 0 0 0 0  0  0 0 0 0 0 0 0  0  0   0   0
202 87A   96  97  164  164  1  1  7  7 0 0 0 0  6  6 1 0 0 0 0 0 11 10  21  22
203 87B   24  24   23   23  0  0  1  1 0 0 0 0  0  0 0 0 0 0 0 0  4  4   3   3
