precinct       vaughan    rossin      lowe
A031  -99         -99          -99
A032  -99         -99          -99
A033  -99         -99          -99
A034  -99         -99          -99
A035  -99         -99          -99
A036  -99         -99          -99
A037  -99         -99          -99
A038  -99         -99          -99
A039  -99         -99          -99
A040  -99         -99          -99
A041  -99         -99          -99
A042  -99         -99          -99
A043  -99         -99          -99
A044  4         6         0
A045  -99         -99          -99
A046  -99         -99          -99
A047  -99         -99          -99
A048  -99         -99          -99
A049  -99         -99          -99
A050  -99         -99          -99
A051  -99         -99          -99
A052  -99         -99          -99
A053  -99         -99          -99
A054  -99         -99          -99
A055  -99         -99          -99
A056  -99         -99          -99
A057  -99         -99          -99
A058  -99         -99          -99
A059  -99         -99          -99
A060  -99         -99          -99
A061  -99         -99          -99
A062  -99         -99          -99
A063  -99         -99          -99
A064  -99         -99          -99
A065  -99         -99          -99
A066  -99         -99          -99
A067  41        38         3
A068  40        38         1
A069  14         8         1
A070  -99         -99          -99
A071  -99         -99          -99
A072  -99         -99          -99
A073  -99         -99          -99
A074  -99         -99          -99
A075  -99         -99          -99
A076  -99         -99          -99
A077  -99         -99          -99
A078  -99         -99          -99
A079  -99         -99          -99
A080  -99         -99          -99
A081  -99         -99          -99
A082  -99         -99          -99
A083  -99         -99          -99
A084  -99         -99          -99
A085  -99         -99          -99
A086  -99         -99          -99
A087  -99         -99          -99
A088  -99         -99          -99
A089  -99         -99          -99
A090  -99         -99          -99
A091  -99         -99          -99
A092  15        30         1
A093  23        37         3
A094  140       167        17
A095  5         0         0
A096  105       100         2
A097  9        10         0
A098  16        11         1
A099  4         4         1
A100  19        25         2
A101  -99         -99          -99
A102  -99         -99          -99
A103  -99         -99          -99
A104  -99         -99          -99
A105  -99         -99          -99
A106  -99         -99          -99
